Id	Label	NodeType	Community_Lvl_0	Community_Lvl_1	Infered_Community_Name_Lvl_0	Infered_Community_Name_Lvl_1
Apprentice Webdesigner & Web Content Writer__s	Apprentice Webdesigner & Web Content Writer	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Junior Software Engineer__s	Junior Software Engineer	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Senior Client Executive, Global Account__s	Senior Client Executive, Global Account	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Deputy General Manager__s	Deputy General Manager	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
administrator__s	administrator	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
ACHATS__s	ACHATS	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Assistant English Instructor__s	Assistant English Instructor	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
French operation Principal__s	French operation Principal	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
customer service__t	customer service	1.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
президент компании__s	президент компании	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
office manager__s	office manager	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
team building__t	team building	1.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Marketing & Relations Clients__s	Marketing & Relations Clients	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
devlopper__s	devlopper	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Horticultural Therapist__s	Horticultural Therapist	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
Member, Meeting and Events Team__s	Member, Meeting and Events Team	2.0	0	0.0	24___Business and administration professionals	24___Business and administration professionals
strategic planning__t	strategic planning	1.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Group product manager - Companion animals__s	Group product manager - Companion animals	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Group Financial Controller__s	Group Financial Controller	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
IT Security Expert Pentester, Forensic__s	IT Security Expert Pentester, Forensic	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Sr Executive Vce President HR__s	Sr Executive Vce President HR	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Purchase Officer__s	Purchase Officer	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Director, National Committee and Membership__s	Director, National Committee and Membership	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Jedi Master__s	Jedi Master	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
Design Assistant__s	Design Assistant	2.0	0	0.16	24___Business and administration professionals	24___Business and administration professionals
RESPONSABLE COMMERCIAL CENTRE OUEST__s	RESPONSABLE COMMERCIAL CENTRE OUEST	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Senior Venue Finder + Event Manager__s	Senior Venue Finder + Event Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International Business Development Manager__s	International Business Development Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Director - Mergers & Acquisitions__s	Director - Mergers & Acquisitions	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Marketing and Communication France & Europe__s	Marketing and Communication France & Europe	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Assistant Marketing Manager__s	Assistant Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Senior Market Research Manager__s	Senior Market Research Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Owner.__s	Owner.	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Editor in Chief__s	Editor in Chief	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Negociant__s	Negociant	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
key account management__t	key account management	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Data Monetization Product Manager__s	Data Monetization Product Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founding Partner__s	Founding Partner	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
adwords google__t	adwords google	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Economic Section Office Manager__s	Economic Section Office Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
director__s	director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Business Developer__s	Business Developer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
beauty industry__t	beauty industry	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
VP Business Development__s	VP Business Development	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Channel Manager__s	Channel Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
vineyard__t	vineyard	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
research development__t	research development	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Game Producer__s	Game Producer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
marketing__t	marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Head of Innovation__s	Head of Innovation	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
market research__t	market research	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
web analytics__t	web analytics	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Head Of Mobile France__s	Head Of Mobile France	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
investment properties__t	investment properties	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
IT Sales Operations Manager__s	IT Sales Operations Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Marketing & Branding AM__s	Marketing & Branding AM	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Commercial Marketing Asie__s	Commercial Marketing Asie	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CEO & Co-Founder__s	CEO & Co-Founder	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Office Manager__s	Office Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
JARDINERIE CHAMBOULEYRON__s	JARDINERIE CHAMBOULEYRON	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
sports__t	sports	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
shopper marketing__t	shopper marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Marketing manager__s	Marketing manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Mom__s	Mom	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
COO__s	COO	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
radio__t	radio	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
SENIOR ACCOUNT MANAGER__s	SENIOR ACCOUNT MANAGER	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
online marketing__t	online marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
luxury brand marketing__t	luxury brand marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Ceo__s	Ceo	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
multi-channel marketing__t	multi-channel marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Assistante Marketing et Communication__s	Assistante Marketing et Communication	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Missile Electronics Managing Director__s	Missile Electronics Managing Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
travel planning__t	travel planning	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Country marketing manager France__s	Country marketing manager France	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
fmcg__t	fmcg	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
marketing communications__t	marketing communications	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Communication and Marketing Manager__s	Communication and Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International Business Developer__s	International Business Developer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
international marketing__t	international marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
consumer behaviour__t	consumer behaviour	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CEO, Webmaster__s	CEO, Webmaster	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
food__t	food	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
wide format printing__t	wide format printing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Managing Partner__s	Managing Partner	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CHEF DE GROUPE PRODUITS CULTURELS__s	CHEF DE GROUPE PRODUITS CULTURELS	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Chief Operating Officer__s	Chief Operating Officer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Translator__s	Translator	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Demand & Supply Planner__s	Demand & Supply Planner	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
social networking__t	social networking	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
sales manager__t	sales manager	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Group MarComm Manager__s	Group MarComm Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
digital media__t	digital media	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Freelance writer__s	Freelance writer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Co-founder__s	Co-founder	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Professor (Titulaire 1)__s	Professor (Titulaire 1)	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Business developer international__s	Business developer international	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
small business online...__t	small business online...	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
COMMERCIALE__s	COMMERCIALE	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
broadcast__t	broadcast	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Vice President Sales and Marketing__s	Vice President Sales and Marketing	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
zelfstandig__s	zelfstandig	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Digital Marketing Assistant__s	Digital Marketing Assistant	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
UK Health & Safety Manager__s	UK Health & Safety Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
lead generation__t	lead generation	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Co-Founder__s	Co-Founder	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Export Area manager__s	Export Area manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
golf__t	golf	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founder & President__s	Founder & President	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Business Strategy Consultant__s	Business Strategy Consultant	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Business Manager__s	Business Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Owner and Chef__s	Owner and Chef	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
cosmetics__t	cosmetics	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Account Manager__s	Account Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
weee__t	weee	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International CRM manager__s	International CRM manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
account director__s	account director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Research Executive__s	Research Executive	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Art Dierctor__s	Art Dierctor	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Lyrist / Poet__s	Lyrist / Poet	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Internet TV expert__s	Internet TV expert	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founder and Managing Director__s	Founder and Managing Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
watches__t	watches	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Perfume & Cosmetics Purchaser__s	Perfume & Cosmetics Purchaser	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
cleantech__t	cleantech	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
new media__t	new media	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Director of Sales and Marketing__s	Director of Sales and Marketing	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
France Key Account Manager__s	France Key Account Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Chief Executive Officer__s	Chief Executive Officer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Co-Founder, Global Strategy__s	Co-Founder, Global Strategy	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International Senior Brand Manager PD__s	International Senior Brand Manager PD	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Strategic Marketing Manager__s	Strategic Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
smartphones__t	smartphones	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Consultant web__s	Consultant web	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Communication and marketing director__s	Communication and marketing director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
selling__t	selling	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
market analysis__t	market analysis	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
vigneron__s	vigneron	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Junior Product Manager__s	Junior Product Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Retired - Ex police__s	Retired - Ex police	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
business strategy__t	business strategy	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
winemaking__t	winemaking	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Advertising editor__s	Advertising editor	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
RESPONSABLE APV / COMMERCE SERVICES__s	RESPONSABLE APV / COMMERCE SERVICES	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Customer Service Manager__s	Customer Service Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
marketing strategy__t	marketing strategy	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
advertising__t	advertising	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Cofounder & Director__s	Cofounder & Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founding Partner and President__s	Founding Partner and President	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Finance Director Baby Care EMEA__s	Finance Director Baby Care EMEA	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
focus groups__t	focus groups	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Innovation Manager__s	Innovation Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
business management__t	business management	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Marketing Manager__s	Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
community management__t	community management	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Director and Angel Investor__s	Director and Angel Investor	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Directeur Grands Comptes international__s	Directeur Grands Comptes international	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Visual Merchandiser__s	Visual Merchandiser	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Digital Marketing Manager__s	Digital Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Product Marketing Manager - Digital Services__s	Product Marketing Manager - Digital Services	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
ATTACHE COMMERCIAL__s	ATTACHE COMMERCIAL	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
residential homes__t	residential homes	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
sports marketing__t	sports marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Co Owner__s	Co Owner	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Senior Manager Audit__s	Senior Manager Audit	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Teamleader Cardholder Service Center__s	Teamleader Cardholder Service Center	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Store employee__s	Store employee	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CEO, founder, owner__s	CEO, founder, owner	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
new business development__t	new business development	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Co-owner & buyer__s	Co-owner & buyer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
physical computing__t	physical computing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
ceo__s	ceo	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Account manager__s	Account manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Director Authentication Devices__s	Director Authentication Devices	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
agribusiness__t	agribusiness	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CFO__s	CFO	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Vice President Asia & Group Marketing__s	Vice President Asia & Group Marketing	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
luxury__t	luxury	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Global eCommerce Finance Manager__s	Global eCommerce Finance Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Senior scientist__s	Senior scientist	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Business Owner__s	Business Owner	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founder and CEO__s	Founder and CEO	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International MarCom Specialist__s	International MarCom Specialist	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
brand management__t	brand management	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Advertising Director__s	Advertising Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Executive Assistant__s	Executive Assistant	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founder - CEO__s	Founder - CEO	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
social media__t	social media	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
SWG Web Specialist - Industry Solutions__s	SWG Web Specialist - Industry Solutions	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
business planning__t	business planning	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Music Programmer__s	Music Programmer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
long-term customer relationships__t	long-term customer relationships	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Marketing and Sales__s	Marketing and Sales	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
SVP Global Meetings & Events__s	SVP Global Meetings & Events	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
European Marketing Manager__s	European Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Business Development__s	Business Development	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Sustainable Food Systems Consultant__s	Sustainable Food Systems Consultant	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CEO and co-founder__s	CEO and co-founder	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Online Market Manager Fnac.be__s	Online Market Manager Fnac.be	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founder, Anthony & Cie__s	Founder, Anthony & Cie	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
commercial__s	commercial	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
General Merchandising Director__s	General Merchandising Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
digital marketing__t	digital marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
newsletters__t	newsletters	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
competitive analysis__t	competitive analysis	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Webmaster - Community Manager__s	Webmaster - Community Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Gift and Premium Project Director__s	Gift and Premium Project Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
ASSISTANTE DE DIRECTION__s	ASSISTANTE DE DIRECTION	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Account Executive - Large & Global Accounts__s	Account Executive - Large & Global Accounts	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Opportunity Manager chez NL International__s	Opportunity Manager chez NL International	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
export__t	export	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International Cross-Functional Project Manager__s	International Cross-Functional Project Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
public relations__t	public relations	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Group Head of Sales Excellence__s	Group Head of Sales Excellence	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Manager Healthcare__s	Manager Healthcare	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International Sales Manager__s	International Sales Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Area Manager__s	Area Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
EMEA Director__s	EMEA Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
online advertising__t	online advertising	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Communication Manager__s	Communication Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
MARKETING MANAGER__s	MARKETING MANAGER	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Horseman and Writer__s	Horseman and Writer	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
product marketing__t	product marketing	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
OWNER__s	OWNER	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Creative Fragrance Director__s	Creative Fragrance Director	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
google analytics__t	google analytics	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CREATRICE DE BIJOUX__s	CREATRICE DE BIJOUX	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Director \ Co-Founder__s	Director \ Co-Founder	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Cofounder CEO__s	Cofounder CEO	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Thor__s	Thor	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Production Manager__s	Production Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
seo__t	seo	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Head of Media__s	Head of Media	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Marketing and Digital Manager, International__s	Marketing and Digital Manager, International	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Consultant - Healthcare Research__s	Consultant - Healthcare Research	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Communication__s	Communication	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Founder & General Manager__s	Founder & General Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Head of communications and digital__s	Head of communications and digital	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
multicultural__t	multicultural	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
semiotics__t	semiotics	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
International Business Manager__s	International Business Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
fundraising__t	fundraising	1.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
CWO__s	CWO	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Bilingual HR Customer service representative__s	Bilingual HR Customer service representative	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Professional Musician and Film Maker__s	Professional Musician and Film Maker	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
Application and Marketing Manager__s	Application and Marketing Manager	2.0	0	0.2	24___Business and administration professionals	24___Business and administration professionals
